No.,Type,Reference,Debtor,Creditor,Business Date,Entry Date,Currency,Amount,Processing Status,Status,Next status,Stream,Final
1,103,FNB0559863801604,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"21,466.05",Complete,Final,,URG,20230405 08:07:05
2,103,FNB0559844301666,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"124,185.00",Complete,Final,,URG,20230405 08:07:05
3,103,FNB0559864301604,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"124,778.40",Complete,Final,,URG,20230405 08:07:10
4,103,FNB0559459601666,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"30,023.05",Complete,Final,,URG,20230405 09:04:28
5,103,FNB0559951901604,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"16,799.65",Complete,Final,,URG,20230405 09:12:11
6,103,4738975,SBICBWGX,BURSBWGX,20230405,20230405,BWP,"44,030.80",Complete,Final,,URG,20230405 09:34:57
7,103,FNB0559975701666,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"139,968.70",Complete,Final,,URG,20230405 11:01:45
8,103,FT23040000797509,FMBZBWGA,BURSBWGX,20230405,20230405,BWP,"40,000.00",Complete,Final,,URG,20230405 12:24:13
9,103,FIN LXX 01,BURSBWGX,BARCBWGX,20230405,20230405,BWP,"12,261.44",Complete,Final,,URG,20230405 12:39:41
10,103,FIN LXX 02,BURSBWGX,FIRNBWGX,20230405,20230405,BWP,"1,411,867.39",Complete,Final,,URG,20230405 12:40:31
11,103,BABW00109523001,BARCBWGX,BURSBWGX,20230405,20230405,BWP,"80,425.97",Complete,Final,,URG,20230405 12:52:04
12,103,FNB0559967501604,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"21,792.10",Complete,Final,,URG,20230405 12:58:30
13,103,FNB0560075901604,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"2,751.48",Complete,Final,,URG,20230405 14:02:05
14,103,FNB0559970501604,FIRNBWGX,BURSBWGX,20230405,20230405,BWP,"5,112.00",Complete,Final,,URG,20230405 14:29:56
15,103,FT23040000797656,FMBZBWGA,BURSBWGX,20230405,20230405,BWP,108.45,Complete,Final,,URG,20230405 15:18:07
