,Time,Reference,BURS Ref,Type,Amount,Validation
0,2023-04-05 06:45:14.672000+02:00,000004738975,BW00000953980-WHT107,mt096,44030.8,Offline
1,2023-04-05 07:47:41.577000+02:00,FNB0559844301666,PMT-INSTR-20230006948121,mt096,124185,Offline
2,2023-04-05 07:47:43.177000+02:00,FNB0559863801604,PMT-INSTR-20230006948429,mt096,21466.05,Online
3,2023-04-05 07:47:44.145000+02:00,FNB0559864301604,PMT-INSTR-20230006948973,mt096,124778.4,Online
4,2023-04-05 09:03:58.231000+02:00,FNB0559459601666,PMT-INSTR-20230006948497,mt096,30023.05,Offline
5,2023-04-05 09:11:38.545000+02:00,FNB0559951901604,PMT-INSTR-20230006957398,mt096,16799.65,Online
6,2023-04-05 10:55:27.497000+02:00,21026580,B00004192244-PAYE,MT205,7500,Offline
7,2023-04-05 10:55:27.637000+02:00,21026581,B00008166722-PAYE,MT205,2593.28,Online
8,2023-04-05 10:55:27.711000+02:00,21026582,B00035909692-PAYE,MT205,147.4,Online
9,2023-04-05 10:55:27.756000+02:00,21026583,B00035909692-PAYE,MT205,149.55,Online
10,2023-04-05 10:55:27.802000+02:00,21026584,B00011989007-PAYE,MT205,545.63,Online
11,2023-04-05 10:55:27.839000+02:00,21026585,B00035909692-PAYE,MT205,138.2,Online
12,2023-04-05 10:55:27.878000+02:00,21026586,B00035909692-PAYE,MT205,138.2,Online
13,2023-04-05 10:55:27.924000+02:00,21026587,B00035909692-PAYE,MT205,94.75,Online
14,2023-04-05 10:55:27.964000+02:00,21026588,B00032881255-WHT108,MT205,821.25,Online
15,2023-04-05 10:55:28.010000+02:00,21026589,B00035909692-PAYE,MT205,120.1,Online
16,2023-04-05 10:55:28.056000+02:00,21026590,B00024053867-PAYE,MT205,7.25,Online
17,2023-04-05 10:55:28.101000+02:00,21026591,B00011933814-PAYE,MT205,3096.7,Online
18,2023-04-05 10:55:28.147000+02:00,21026592,B00012765977-PAYE,MT205,110.8,Online
19,2023-04-05 10:55:30.166000+02:00,21026593,CMS2101B08103901112,MT205,54242.45,Offline
20,2023-04-05 10:55:30.228000+02:00,21026594,CMS2101B0810901112,MT205,55467.1,Online
21,2023-04-05 10:55:30.367000+02:00,21026595,CMS2101B08103901112,MT205,54242.45,Online
22,2023-04-05 10:55:30.402000+02:00,21026596,B00008166625-PAYE,MT205,6326.75,Online
23,2023-04-05 10:55:30.521000+02:00,21026597,CMS2102B08103901112,MT205,55705.25,Online
24,2023-04-05 10:55:30.568000+02:00,21026598,B00012765977-PAYE,MT205,7825.05,Online
25,2023-04-05 10:55:30.611000+02:00,21026599,B00012765977-PAYE,MT205,7074.25,Online
26,2023-04-05 10:55:30.666000+02:00,21026600,B00012765977-PAYE,MT205,2844.6,Online
27,2023-04-05 10:55:30.704000+02:00,21026601,B00012765977-PAYE,MT205,2314.2,Online
28,2023-04-05 10:55:30.747000+02:00,21026602,B00012765977-PAYE,MT205,2574.95,Online
29,2023-04-05 10:55:30.896000+02:00,21026603,B00011972226-WHT108,MT205,374203.57,Online
30,2023-04-05 10:55:30.937000+02:00,21026604,B00012765977-PAYE,MT205,851.4,Online
31,2023-04-05 10:55:30.973000+02:00,21026605,B00012765977-PAYE,MT205,2805.95,Online
32,2023-04-05 10:55:31.012000+02:00,21026606,B00012765977-PAYE,MT205,1534.5,Online
33,2023-04-05 10:55:31.049000+02:00,21026607,B00012765977-PAYE,MT205,3754.05,Online
