"Interest Rate Date","7 Day Bobc","Monetary Policy Rate","1 Month BoBC"
"02 Sep 2022",2.65,2.65,2.43
"01 Sep 2022",2.65,2.65,2.43
"31 Aug 2022",2.65,2.65,2.43
"30 Aug 2022",2.15,2.65,2.43
"29 Aug 2022",2.15,2.65,2.43
"26 Aug 2022",2.15,2.15,2.43
"25 Aug 2022",2.15,2.15,2.43
"24 Aug 2022",2.15,2.15,2.43
"23 Aug 2022",2.15,2.15,2.44
"22 Aug 2022",2.15,2.15,2.44
"19 Aug 2022",2.15,2.15,2.44
"18 Aug 2022",2.15,2.15,2.44
"17 Aug 2022",2.15,2.15,2.44
"16 Aug 2022",2.15,2.15,2.44
"15 Aug 2022",2.15,2.15,2.44
"12 Aug 2022",2.15,2.15,2.44
"11 Aug 2022",2.15,2.15,2.44
"10 Aug 2022",2.15,2.15,2.44
"09 Aug 2022",2.15,2.15,2.44
"08 Aug 2022",2.15,2.15,2.44
"05 Aug 2022",2.15,2.15,2.44
"04 Aug 2022",2.15,2.15,2.44
"03 Aug 2022",2.15,2.15,2.44
"02 Aug 2022",2.15,2.15,2.44
"01 Aug 2022",2.15,2.15,2.44
"29 Jul 2022",2.15,2.15,2.44
"28 Jul 2022",2.15,2.15,2.44
"27 Jul 2022",2.15,2.15,2.44
"26 Jul 2022",2.15,2.15,2.34
"25 Jul 2022",2.15,2.15,2.34
"22 Jul 2022",2.15,2.15,2.34
"21 Jul 2022",2.15,2.15,2.34
"28 Jun 2022",2.15,2.15,2.34
"20 Jul 2022",2.15,2.15,
"15 Jul 2022",2.15,2.15,
"14 Jul 2022",2.15,2.15,
"13 Jul 2022",2.15,2.15,
"12 Jul 2022",2.15,2.15,
"11 Jul 2022",2.15,2.15,
"08 Jul 2022",2.15,2.15,
"07 Jul 2022",2.15,2.15,
"06 Jul 2022",2.15,2.15,
"05 Jul 2022",2.15,2.15,
"04 Jul 2022",2.15,2.15,
"30 Jun 2022",2.15,2.15,
"29 Jun 2022",2.15,2.15,
"27 Jun 2022",2.15,2.15,
"24 Jun 2022",2.15,2.15,
"23 Jun 2022",2.15,2.15,
"22 Jun 2022",2.15,2.15,
"21 Jun 2022",1.65,2.15,
"20 Jun 2022",1.65,2.15,
"17 Jun 2022",1.65,2.15,
"16 Jun 2022",1.65,1.65,
"15 Jun 2022",1.65,1.65,
"14 Jun 2022",1.65,1.65,
"13 Jun 2022",1.65,1.65,
"10 Jun 2022",1.65,1.65,
"09 Jun 2022",1.65,1.65,
"08 Jun 2022",1.65,1.65,
"07 Jun 2022",1.65,1.65,
"06 Jun 2022",1.65,1.65,
"03 Jun 2022",1.65,1.65,
"02 Jun 2022",1.65,1.65,
"01 Jun 2022",1.65,1.65,
"31 May 2022",1.65,1.65,
"30 May 2022",1.65,1.65,
"27 May 2022",1.65,1.65,
"25 May 2022",1.65,1.65,
"24 May 2022",1.65,1.65,
"23 May 2022",1.65,1.65,
"20 May 2022",1.65,1.65,
"19 May 2022",1.65,1.65,
"18 May 2022",1.65,1.65,
"17 May 2022",1.65,1.65,
"16 May 2022",1.65,1.65,
"13 May 2022",1.65,1.65,
"12 May 2022",1.65,1.65,
"11 May 2022",1.65,1.65,
"10 May 2022",1.65,1.65,
"09 May 2022",1.65,1.65,
"06 May 2022",1.65,1.65,
"05 May 2022",1.65,1.65,
"04 May 2022",1.65,1.65,
"03 May 2022",1.12,,
"29 Apr 2022",1.12,,
"28 Apr 2022",1.12,,
"27 Apr 2022",1.12,,
"26 Apr 2022",1.12,,
"25 Apr 2022",1.12,,
"22 Apr 2022",1.12,,
"21 Apr 2022",1.12,,
"20 Apr 2022",1.12,,
"19 Apr 2022",1.12,,
"14 Apr 2022",1.12,,
"13 Apr 2022",1.12,,
"12 Apr 2022",1.12,,
"11 Apr 2022",1.12,,
"08 Apr 2022",1.12,,
"07 Apr 2022",1.12,,
"06 Apr 2022",1.12,,
"05 Apr 2022",1.11,,
"04 Apr 2022",1.11,,
"01 Apr 2022",1.11,,
"31 Mar 2022",1.11,,
"30 Mar 2022",1.11,,
"29 Mar 2022",1.11,,
"28 Mar 2022",1.11,,
"25 Mar 2022",1.11,,
"24 Mar 2022",1.11,,
"23 Mar 2022",1.11,,
"22 Mar 2022",1.11,,
"21 Mar 2022",1.11,,
"18 Mar 2022",1.11,,
"17 Mar 2022",1.11,,
"16 Mar 2022",1.11,,
"15 Mar 2022",1.10,,
"14 Mar 2022",1.10,,
"11 Mar 2022",1.10,,
"10 Mar 2022",1.10,,
"09 Mar 2022",1.10,,
"08 Mar 2022",1.10,,
"07 Mar 2022",1.10,,
"04 Mar 2022",1.10,,
"03 Mar 2022",1.10,,
"02 Mar 2022",1.10,,
"01 Mar 2022",1.10,,
"28 Feb 2022",1.10,,
"25 Feb 2022",1.10,,
"24 Feb 2022",1.10,,
"23 Feb 2022",1.10,,
"22 Feb 2022",1.10,,
"21 Feb 2022",1.10,,
"18 Feb 2022",1.10,,
"17 Feb 2022",1.10,,
"16 Feb 2022",1.10,,
"15 Feb 2022",1.10,,
"14 Feb 2022",1.10,,
"11 Feb 2022",1.10,,
"10 Feb 2022",1.10,,
"09 Feb 2022",1.10,,
"08 Feb 2022",1.10,,
"07 Feb 2022",1.10,,
"04 Feb 2022",1.10,,
"03 Feb 2022",1.10,,
"02 Feb 2022",1.10,,
"01 Feb 2022",1.10,,
"31 Jan 2022",1.10,,
"28 Jan 2022",1.10,,
"27 Jan 2022",1.10,,
"26 Jan 2022",1.10,,
"25 Jan 2022",1.10,,
"24 Jan 2022",1.10,,
"21 Jan 2022",1.10,,
"20 Jan 2022",1.10,,
"19 Jan 2022",1.10,,
"18 Jan 2022",1.10,,
"17 Jan 2022",1.10,,
"14 Jan 2022",1.10,,
"13 Jan 2022",1.10,,
"12 Jan 2022",1.10,,
"11 Jan 2022",1.10,,
"10 Jan 2022",1.10,,
"07 Jan 2022",1.10,,
"06 Jan 2022",1.10,,
"05 Jan 2022",1.10,,
"31 Dec 2021",1.10,,
"30 Dec 2021",1.10,,
"29 Dec 2021",1.10,,
"24 Dec 2021",1.10,,
"23 Dec 2021",1.10,,
"22 Dec 2021",1.10,,
"21 Dec 2021",1.10,,
"20 Dec 2021",1.10,,
"17 Dec 2021",1.10,,
"16 Dec 2021",1.10,,
"15 Dec 2021",1.10,,
"14 Dec 2021",1.10,,
"13 Dec 2021",1.10,,
"10 Dec 2021",1.10,,
"09 Dec 2021",1.10,,
"08 Dec 2021",1.10,,
"07 Dec 2021",1.09,,
"06 Dec 2021",1.09,,
"03 Dec 2021",1.09,,
"02 Dec 2021",1.09,,
"01 Dec 2021",1.09,,
"30 Nov 2021",1.09,,
"29 Nov 2021",1.09,,
"26 Nov 2021",1.09,,
"25 Nov 2021",1.09,,
"24 Nov 2021",1.09,,
"23 Nov 2021",1.09,,
"22 Nov 2021",1.09,,
"19 Nov 2021",1.09,,
"18 Nov 2021",1.09,,
"17 Nov 2021",1.09,,
"16 Nov 2021",1.09,,
"15 Nov 2021",1.09,,
"12 Nov 2021",1.09,,
"11 Nov 2021",1.09,,
"10 Nov 2021",1.09,,
"09 Nov 2021",1.09,,
"08 Nov 2021",1.09,,
"05 Nov 2021",1.09,,
"04 Nov 2021",1.09,,
"03 Nov 2021",1.09,,
"02 Nov 2021",1.09,,
"01 Nov 2021",1.09,,
"29 Oct 2021",1.09,,
"28 Oct 2021",1.09,,
"27 Oct 2021",1.09,,
"26 Oct 2021",1.09,,
"25 Oct 2021",1.09,,
"22 Oct 2021",1.09,,
"21 Oct 2021",1.09,,
"20 Oct 2021",1.09,,
"19 Oct 2021",1.09,,
"18 Oct 2021",1.09,,
"15 Oct 2021",1.09,,
"14 Oct 2021",1.09,,
"13 Oct 2021",1.09,,
"12 Oct 2021",1.09,,
"11 Oct 2021",1.09,,
"08 Oct 2021",1.09,,
"07 Oct 2021",1.09,,
"06 Oct 2021",1.09,,
"05 Oct 2021",1.09,,
